,well id,well name,analysis date,formation,sample depth,kmax,kmax-h,k90,kvert,porosity,grain density,bulk density,lithology description
2125,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3913.39,2.33,0.7,1.28,1.64,0.034,2790.0,2700.0,"dol,intgran,ppv,sv,anhy,carb"
2126,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,4039.8,2.0,0.22,1.28,0.83,0.027,2860.0,2780.0,"dol,intgran,ppv,scat,sv,frac"
2127,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,4018.06,1.48,0.36,1.28,0.76,0.03,2850.0,2760.0,"dol,intgran,ppv,sv,anhy"
2128,300A556030123450,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3154.07,1.47,0.4,1.28,0.24,0.028,2830.0,2750.0,sv
2129,300A556030123451,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3154.07,1.47,0.4,1.28,0.24,0.028,2830.0,2750.0,sv
2130,300A556030123452,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3154.07,1.47,0.4,1.28,0.24,0.028,2830.0,2750.0,sv
2131,300A556030123450,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3149.16,1.34,0.36,1.28,,0.038,2830.0,2720.0,"few,lv,sv,ppv"
2132,300A556030123451,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3149.16,1.34,0.36,1.28,,0.038,2830.0,2720.0,"few,lv,sv,ppv"
2133,300A556030123452,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3149.16,1.34,0.36,1.28,,0.038,2830.0,2720.0,"few,lv,sv,ppv"
2134,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3919.42,1.71,0.51,1.27,0.43,0.036,2800.0,2700.0,"dol,intgran,ppv,sv,anhy,carb"
2135,300F386030123450,AMOCO POINTED MOUNTAIN (B-2) F-38,9/25/1973,Dnahanni,4391.92,1.33,0.28,1.27,0.67,0.024,2850.0,2780.0,"few,sv,ppv"
2136,300F386030123451,AMOCO POINTED MOUNTAIN (B-2) F-38,9/25/1973,Dnahanni,4391.92,1.33,0.28,1.27,0.67,0.024,2850.0,2780.0,"few,sv,ppv"
2137,300B386010124000,DEVON KOTANEELEE YT B-38,11/21/1977,Dnahanni,3889.98,3.37,0.61,1.25,0.22,0.048,2860.0,2720.0,few lv sv ppv sty a
2138,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3913.08,2.72,0.82,1.25,0.59,0.028,2830.0,2750.0,"dol,intgran,ppv,sv,anhy,carb"
2139,300F086040124300,CPOG ET AL LABICHE F-08,2/25/1971,Dmanetoe,2044.2,2.09,1.46,1.25,0.64,0.018,2830.0,2780.0,ppv f cal
2140,300F086040124301,CPOG ET AL LABICHE F-08,2/25/1971,Dmanetoe,2044.2,2.09,1.46,1.25,0.64,0.018,2830.0,2780.0,ppv f cal
2141,300F086040124302,CPOG ET AL LABICHE F-08,2/25/1971,Dmanetoe,2044.2,2.09,1.46,1.25,0.64,0.018,2830.0,2780.0,ppv f cal
2142,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,3736.85,1.43,0.31,1.25,0.17,0.032,2870.0,2780.0,"dol,intgran,ppv,sv,frac"
2143,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,3728.01,2.75,0.72,1.24,2.57,0.005,2850.0,2840.0,"dol,intgran,vfrac"
2144,300B386010124000,DEVON KOTANEELEE YT B-38,11/21/1977,Dnahanni,3741.76,1.57,0.38,1.22,,0.01,2850.0,2820.0,sv f
2145,300A556030123450,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3153.55,1.22,0.37,1.22,0.43,0.035,2840.0,2740.0,"few,lv,few,sv"
2146,300A556030123451,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3153.55,1.22,0.37,1.22,0.43,0.035,2840.0,2740.0,"few,lv,few,sv"
2147,300A556030123452,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3153.55,1.22,0.37,1.22,0.43,0.035,2840.0,2740.0,"few,lv,few,sv"
2149,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,10/28/1969,Dnahanni,4130.98,7.0,4.27,1.21,,0.011,2770.0,2740.0,"intgran,sty,hfrac"
2150,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,3912.9,1.55,0.12,1.21,0.64,0.06,2880.0,2710.0,"dol,intgran,ppv,sv,frac"
2151,300F386030123450,AMOCO POINTED MOUNTAIN (B-2) F-38,9/25/1973,Dnahanni,4391.77,40.4,6.06,1.2,1.35,0.014,2860.0,2810.0,"few,sv,ppv,hfrac"
2152,300F386030123451,AMOCO POINTED MOUNTAIN (B-2) F-38,9/25/1973,Dnahanni,4391.77,40.4,6.06,1.2,1.35,0.014,2860.0,2810.0,"few,sv,ppv,hfrac"
2153,300E136110123450,PAN AMERICAN A-1 MATTSON CREEK NO.1(E-13),9/26/1961,Dnahanni,640.57,2.4,0.89,1.2,2.2,0.037,,,"rc,sl,vug,sl,intgran"
2154,300J726020122450,TEXACO BOVIE LAKE J-72,1/16/1967,Dnahanni,3118.65,2.2,0.53,1.2,0.19,0.014,,,"dol,calc,rfrac"
2155,300J726020122451,TEXACO BOVIE LAKE J-72,1/16/1967,Dnahanni,3118.65,2.2,0.53,1.2,0.19,0.014,,,"dol,calc,rfrac"
2156,300J726020122452,TEXACO BOVIE LAKE J-72,1/16/1967,Dnahanni,3118.65,2.2,0.53,1.2,0.19,0.014,,,"dol,calc,rfrac"
2157,300J726020122450,TEXACO BOVIE LAKE J-72,1/16/1967,Dnahanni,3124.84,2.1,0.71,1.2,0.32,0.042,,,"dol,calc,occ,vug,xl,rc"
2158,300J726020122451,TEXACO BOVIE LAKE J-72,1/16/1967,Dnahanni,3124.84,2.1,0.71,1.2,0.32,0.042,,,"dol,calc,occ,vug,xl,rc"
2159,300J726020122452,TEXACO BOVIE LAKE J-72,1/16/1967,Dnahanni,3124.84,2.1,0.71,1.2,0.32,0.042,,,"dol,calc,occ,vug,xl,rc"
2160,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,3727.42,1.63,0.47,1.2,1.56,0.009,2850.0,2830.0,"dol,intgran,vfrac"
2161,300A556030123450,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3155.69,2.28,0.62,1.19,0.34,0.058,2830.0,2670.0,"few,lv,sv"
2162,300A556030123451,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3155.69,2.28,0.62,1.19,0.34,0.058,2830.0,2670.0,"few,lv,sv"
